,0
DOCK5,0
TGFB3,0
TLE2,0
DDX1,2
RBPMS,1
SLC4A4,1
THBS4,0
PLVAP,0
DPP6,0
TBX15,2
PTPN14,0
AKAP5,0
EYA1,0
TNNI3K,1
FHDC1,0
ITM2A,1
HIST2H2BE,1
JUN,1
VAMP2,0
SEMA7A,1
C8orf31,0
PIK3R1,1
ESR2,0
C8orf84,0
HEYL,0
PRPH,0
TRIB2,1
SERINC2,1
C11orf70,0
WIPF3,0
SLC7A3,0
GAL3ST4,0
ERICH1,0
RGS11,0
LIFR,1
TSKU,2
STH,0
RNF43,0
PSMB8,0
ST8SIA2,0
RREB1,0
MPPED2,2
ERC2,0
PCGF6,0
MPP7,0
ABCA4,0
RIMKLB,1
CXCL12,0
FAM38B,0
SLC13A3,0
DNMBP,0
TMEM63C,0
IGFBP7,0
C1orf95,0
MKI67,0
CFHR1,1
C1orf88,0
HMCN1,1
BMP5,0
KIAA1797,2
RUNDC3A,0
PI15,0
TRAM2,0
CCL5,0
MGLL,1
C15orf51,0
HPGDS,1
RIMS1,0
OR4N3P,0
C1orf115,1
ZNF492,1
MIR100,1
ZNF385D,0
APCDD1,0
DMBX1,0
ANKS6,0
FGFR2,1
ST18,0
CRABP2,0
CLDN1,0
PKN3,0
SNORD116-14,1
TSPAN8,1
SNORA21,0
SLC7A11,2
GPR22,0
DIRAS3,0
FAM38A,0
NHLH1,0
ZNF391,1
PDE4DIP,0
OR2M4,1
MYOF,0
CMTM7,0
GALM,0
TST,0
KCNJ2,0
ZNF703,0
PAIP2B,1
KCNIP1,2
ETV5,1
DYNC2H1,0
CES3,0
C20orf103,0
ERMN,1
SEMA3F,1
SERTAD4,0
LPPR4,0
SLC4A2,0
HCFC2,0
ELAVL2,0
MYOM1,0
HK1,0
MOBP,1
PLEKHA6,0
EHD3,0
SDCBP,0
MIR95,0
MUC6,0
SEMA3E,0
JUB,0
C5orf30,1
ELL2,1
LUM,0
LOC100130428,0
HPCAL1,0
ENOX1,0
GGTA1,0
SLC1A2,0
C1orf130,1
SNORD44,0
OSBPL10,0
OIP5,0
SLITRK2,0
ZNF772,1
KLHL5,0
ADAMTS16,0
CALCRL,0
LRRC66,0
ITGA10,0
KCNJ5,1
CYP39A1,0
DAPL1,0
SRC,0
ZIC3,0
PTPRF,0
HIST1H3B,0
TEX14,1
NELL1,2
TMEM62,1
ZNF92,0
CCIN,0
MYADM,0
MCF2L2,0
SLC24A4,0
TMEM108,0
SNORD116-18,2
C10orf78,0
GNAZ,1
SLC16A10,0
CPEB2,0
ZNF233,1
DECR1,1
IMPG1,0
NFIA,0
PLCD1,0
BSPH1,0
JAG2,1
A4GALT,0
IFI44L,1
BCHE,0
SNX7,0
TIPIN,0
GAD2,0
MBIP,0
SNORD105,1
HIST3H2A,2
RDH10,1
CTGF,0
SPEF2,0
HIST1H2AJ,0
ARMC3,2
C14orf38,1
SNORD116-27,1
TSPAN2,0
TMTC4,1
VSNL1,1
SST,1
XYLB,0
DAND5,0
AACS,0
ZCCHC14,0
DNAH5,0
PARP4,0
EEF1A1,1
HSPA1L,0
GATM,1
ITIH2,0
THBS2,0
TMEM56,0
GADD45A,1
SCARNA9,0
DDX60L,1
CDK17,0
RAD51AP1,0
FAM171A2,0
GREB1,0
SNORD75,1
MIR15A,1
PREX1,0
DOCK4,0
PPAPDC1B,0
HTR5A,0
EOMES,0
CORO2B,0
TPPP,1
EVI2A,0
KDELR3,0
CSPG4,0
KIAA1107,0
C8orf22,1
ELFN2,1
LRRN3,1
NHEDC2,0
C10orf2,1
FAT2,0
LOC100288814,0
GABRQ,0
FLG,1
LGI2,0
LTBP4,0
KCNC2,2
HTR2B,1
C19orf48,0
NR3C2,0
ZNF443,1
FKBP10,0
CNTNAP2,1
MAPK9,0
SERGEF,2
BRMS1L,1
KIAA0513,0
ACADSB,0
MYLK2,0
RTN1,0
SLC16A9,1
RAB13,0
KLHDC1,1
C9orf21,0
SMC6,0
KRT14,0
EDIL3,0
FAIM2,0
FOXP2,0
PLEKHF2,1
CKMT2,0
WWC2,1
SIDT1,0
NETO1,0
DAB1,0
GPR137B,1
WIPI1,0
RNF180,0
ARHGAP20,1
APOL4,0
ZSCAN20,0
CENPV,0
PPP1R1C,0
RGMB,1
HLA-DPA1,0
STX8,0
RAX2,0
RHOH,0
SEMA3D,0
TAL2,1
MMS22L,0
SEMA6A,0
ANXA4,0
CHRNB4,1
RASGRF2,0
LAMA1,1
OTP,2
BAIAP2L1,1
MS4A4A,0
ARHGAP36,0
TMEM130,0
CSDA,2
CYTIP,0
HIST1H2BD,1
CBS,1
ENTPD2,0
IGSF11,0
FRMD6,0
RAB18,1
BCMO1,0
ATP2C2,1
ADAM21,1
ZDHHC2,1
MIR218-1,1
CYP2E1,2
THSD7A,1
PER1,0
FLJ90757,0
BEGAIN,1
GAB1,0
NNAT,1
GPR37L1,0
OXR1,0
CPXM1,1
ARAP3,0
GMPR,1
NTN4,0
DCTPP1,1
LOC646851,0
NECAB1,1
SLC12A5,0
RDH12,0
SRGAP3,0
USP45,0
EGR3,2
ARRDC3,0
SLCO4C1,0
KRT17,1
CDH6,1
NEIL3,0
SNORD20,1
GLB1L2,1
PALMD,0
LPAR3,0
VWA5A,0
SLAIN1,1
EMCN,0
ITGA6,1
HIPK2,0
STMN4,0
PPAP2B,0
HIST1H3I,1
FABP4,1
ZNF626,0
ZNF217,2
CNPY1,0
PGF,1
UGT2B7,1
CBLN1,0
MFAP2,0
PCSK6,1
GSG1L,0
VIM,0
MTERF,1
TIMP4,0
GABRD,0
TRAF3,0
DNAJC3,0
IL1RAPL1,0
ARHGDIG,0
PBK,0
PSRC1,0
MAG,1
GRIN2B,1
MR1,0
RTBDN,1
SYT16,0
PTPN5,0
FNDC3B,1
TRIM32,0
KNTC1,0
STARD9,1
UNC5A,1
KDM4C,0
SLC39A14,0
MMAA,1
LAPTM5,0
LOC100131943,0
FLJ45825,1
PHLDA1,0
NCEH1,0
RGS9,0
TSHR,0
KIRREL,0
BDNF,1
IL33,0
SLC11A1,0
DNAH7,0
B3GAT1,0
C15orf59,1
NAA11,1
RNF207,0
HLF,1
FREM1,1
SCARNA22,0
C1orf51,0
SLC17A6,1
TAPBP,0
ASPM,0
MFAP5,2
SLC6A3,0
C9orf68,0
KLF10,1
IQGAP2,0
TPTE2,0
CHRM2,0
PLXNC1,1
GABRA4,0
OLFML1,0
RHBDF1,0
C15orf42,0
TMEM59L,0
RSPO2,0
HIP1R,0
EPHB2,0
PCGF2,0
LOC646870,0
BCL2L11,1
PDE1A,0
SNORA7B,1
CLDN11,0
FLRT1,1
GADL1,1
UNC119,0
ACSS1,0
GRIA4,0
ZEB2,1
ZNF486,0
LBX1,1
HOXC8,1
C5orf53,1
SNORD116-28,1
IGF1,1
MGAM,2
ZNF208,1
ACTC1,0
MTSS1L,0
IGHM,0
ADAMTS5,0
SRI,0
TLL1,0
FAM124A,1
CSAG1,0
SCARNA8,0
IRX3,0
PRKCZ,0
SLC16A13,1
NMU,0
SMAD7,0
SNORD113-4,0
HFM1,1
CDKN2A,0
